Suburb,Post code
Carlton,3053,
Carlton North,3054
Docklands,3008
East Melbourne,3002
Flemington,3031
Kensington,3031
Melbourne,3000
Melbourne,3004
North Melbourne,3051
Parkville,3052
Port Melbourne,3207
Southbank,3006
South Wharf,3006
South Yarra,3141
West Melbourne,3003
Albert Park,3206
Balaclava,3183
Elwood,3184
Middle Park,3206
Port Melbourne,3207
Ripponlea,3185
St Kilda,3182
St Kilda East,3183
St Kilda West,3182
South Melbourne,3205
Abbotsford,3067
Alphington,3078
Burnley,3121
Carlton North,3054
Clifton Hill,3068
Collingwood,3066
Cremorne,3121
Fairfield,3078
Fitzroy,3065
Fitzroy North,3068
Princes Hill,3054
Richmond,3121
